[17-Apr-2017 07:15:40 UTC] PHP Notice:  Undefined offset: 2 in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 119
[17-Apr-2017 07:15:44 UTC] PHP Notice:  Undefined offset: 2 in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 119
[17-Apr-2017 08:16:35 UTC] PHP Notice:  Undefined offset: 2 in /var/www/likeamall/data/www/studycollab.com/chat/cometchat_receive.php on line 119
[09-May-2017 09:28:46 UTC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/integration.php on line 80
[09-May-2017 09:31:28 UTC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/integration.php on line 80
[09-May-2017 10:18:38 UTC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/integration.php on line 80
[09-May-2017 10:19:14 UTC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/integration.php on line 80
[11-May-2017 05:40:49 UTC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/integration.php on line 80
[11-May-2017 05:46:57 UTC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/integration.php on line 80
[11-May-2017 06:53:35 UTC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/integration.php on line 80
[11-May-2017 06:56:34 UTC] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in /var/www/likeamall/data/www/studycollab.com/chat/integration.php on line 80
